location,name,freq,weighting,n_factors,date,ret
per,accruals,monthly,vw_cap,5,2013-09-30,0.0181548896266763
per,accruals,monthly,vw_cap,5,2013-10-31,-0.0371466850995305
per,accruals,monthly,vw_cap,5,2013-11-30,0.018836025553868
per,accruals,monthly,vw_cap,5,2013-12-31,0.00375362095574937
per,accruals,monthly,vw_cap,5,2014-01-31,-0.0290889970828477
per,accruals,monthly,vw_cap,5,2014-02-28,0.018295913610903
per,accruals,monthly,vw_cap,5,2014-03-31,-0.0100483251270554
per,accruals,monthly,vw_cap,5,2014-04-30,0.0151501010456417
per,accruals,monthly,vw_cap,5,2014-05-31,-0.0221940640603555
per,accruals,monthly,vw_cap,5,2014-06-30,0.00460041179952531
per,accruals,monthly,vw_cap,5,2014-07-31,0.0333564580432767
per,accruals,monthly,vw_cap,5,2014-08-31,0.0358769843643427
per,accruals,monthly,vw_cap,5,2014-09-30,-0.0342369240372592
per,accruals,monthly,vw_cap,5,2014-10-31,0.00217664656553958
per,accruals,monthly,vw_cap,5,2014-11-30,0.0247656006264969
per,accruals,monthly,vw_cap,5,2014-12-31,-0.0190373617487307
per,accruals,monthly,vw_cap,5,2015-01-31,0.0268828288245929
per,accruals,monthly,vw_cap,5,2015-02-28,0.0341029330845239
per,accruals,monthly,vw_cap,5,2015-03-31,-0.00598421217825889
per,accruals,monthly,vw_cap,5,2015-04-30,-0.0532361585624016
per,accruals,monthly,vw_cap,5,2015-05-31,0.013749866264385
per,accruals,monthly,vw_cap,5,2015-06-30,0.0128455585676084
per,accruals,monthly,vw_cap,5,2015-07-31,-0.0150691108780859
per,accruals,monthly,vw_cap,5,2015-08-31,0.0102575075352851
per,accruals,monthly,vw_cap,5,2015-09-30,0.00971454906819096
per,accruals,monthly,vw_cap,5,2015-10-31,-0.018110550603171
per,accruals,monthly,vw_cap,5,2015-11-30,-0.0283843535666188
per,accruals,monthly,vw_cap,5,2015-12-31,0.0340821715392649
per,accruals,monthly,vw_cap,5,2016-01-31,-0.0447781452239125
per,accruals,monthly,vw_cap,5,2016-02-29,0.0177595633616418
per,accruals,monthly,vw_cap,5,2016-03-31,0.0805096573315098
per,accruals,monthly,vw_cap,5,2016-04-30,0.0314264543638221
per,accruals,monthly,vw_cap,5,2016-05-31,0.00355801536068872
per,accruals,monthly,vw_cap,5,2016-06-30,0.0137819981716402
per,accruals,monthly,vw_cap,5,2016-07-31,-0.00299627159462239
per,accruals,monthly,vw_cap,5,2016-08-31,0.0269897612329694
per,accruals,monthly,vw_cap,5,2016-09-30,-0.00531986855182681
per,accruals,monthly,vw_cap,5,2016-10-31,0.00403851389348947
per,accruals,monthly,vw_cap,5,2016-11-30,-0.0400850282096083
per,accruals,monthly,vw_cap,5,2016-12-31,-0.0396076193911255
per,accruals,monthly,vw_cap,5,2017-01-31,0.00448189907298827
per,accruals,monthly,vw_cap,5,2017-02-28,0.0267401525986942
per,accruals,monthly,vw_cap,5,2017-03-31,0.00105768978332284
per,accruals,monthly,vw_cap,5,2017-04-30,-0.00529068257582484
per,accruals,monthly,vw_cap,5,2017-05-31,0.0347496134141245
per,accruals,monthly,vw_cap,5,2017-06-30,0.012890260005831
per,accruals,monthly,vw_cap,5,2017-07-31,-0.0387271984119239
per,accruals,monthly,vw_cap,5,2017-08-31,0.0345208130680815
per,accruals,monthly,vw_cap,5,2017-09-30,0.0154995746709356
per,accruals,monthly,vw_cap,5,2017-10-31,0.00375828108098772
per,accruals,monthly,vw_cap,5,2017-11-30,-0.00810959564472046
per,accruals,monthly,vw_cap,5,2017-12-31,-0.000710607224461629
per,accruals,monthly,vw_cap,5,2018-01-31,0.0110963591883452
per,accruals,monthly,vw_cap,5,2018-02-28,-0.00956425400770356
per,accruals,monthly,vw_cap,5,2018-03-31,-0.0135618870700362
per,accruals,monthly,vw_cap,5,2018-04-30,0.0199030258709626
per,accruals,monthly,vw_cap,5,2018-05-31,-0.032996019619159
per,accruals,monthly,vw_cap,5,2018-06-30,-0.0387618450811261
per,accruals,monthly,vw_cap,5,2018-07-31,-0.0129372215938441
per,accruals,monthly,vw_cap,5,2018-08-31,-0.00361984212478906
per,accruals,monthly,vw_cap,5,2018-09-30,-0.0206438930855367
per,accruals,monthly,vw_cap,5,2018-10-31,-0.0172891772805973
per,accruals,monthly,vw_cap,5,2018-11-30,0.0243561202471455
per,accruals,monthly,vw_cap,5,2018-12-31,-0.0286466504741474
per,accruals,monthly,vw_cap,5,2019-01-31,0.0409000482926383
per,accruals,monthly,vw_cap,5,2019-02-28,-0.0360471026289239
per,accruals,monthly,vw_cap,5,2019-03-31,-0.0162699502801521
per,accruals,monthly,vw_cap,5,2019-04-30,0.0204988920014027
per,accruals,monthly,vw_cap,5,2019-05-31,-0.0566903980124261
per,accruals,monthly,vw_cap,5,2019-06-30,0.0459595525249121
per,accruals,monthly,vw_cap,5,2019-07-31,-0.00795345635536176
per,accruals,monthly,vw_cap,5,2019-08-31,0.0157595466751766
per,accruals,monthly,vw_cap,5,2019-09-30,-0.053663133704143
per,accruals,monthly,vw_cap,5,2019-10-31,-0.0206563803363909
per,accruals,monthly,vw_cap,5,2019-11-30,0.0321558901974562
per,accruals,monthly,vw_cap,5,2019-12-31,0.0300363822900405
per,accruals,monthly,vw_cap,5,2020-01-31,0.0153304472169733
per,accruals,monthly,vw_cap,5,2020-02-29,-0.00381126360019329
per,accruals,monthly,vw_cap,5,2020-03-31,0.0928929846391216
per,accruals,monthly,vw_cap,5,2020-04-30,-0.0173296753055899
per,accruals,monthly,vw_cap,5,2020-05-31,0.0228032881456765
per,accruals,monthly,vw_cap,5,2020-06-30,-0.00096915762087638
per,accruals,monthly,vw_cap,5,2020-07-31,-0.0342717524244454
per,accruals,monthly,vw_cap,5,2020-08-31,0.0191412226894257
