Model,Window,Weight,Mean (%),t-stat,SR,CAPM α (%),t(CAPM α),FF3 α (%),t(FF3 α),FF5 α (%),t(FF5 α)
FM,36,EW,0.6167244392539151,0.6692305605754222,0.2705754326400993,0.5624323548710062,0.6732254477620788,0.8866384291236604,0.9848237220209528,0.9272258044836662,1.0215508972703682
FM,36,VW,-0.14337149858820603,-0.1924801218881963,-0.06431338401246886,-0.18211404507500614,-0.2581719278624132,-0.1915695946189269,-0.27559372037193547,-0.1284403214820628,-0.17655183729701576
PCA,12,EW,-1.0749927814069993,-1.6072974091779966,-0.4531737860771819,-1.122241110469993,-1.6602999485322192,-0.9770683180754806,-1.4262996223602566,-0.9440180739878857,-1.3953779262154884
PCA,12,VW,-1.1554701730589747,-1.5514752170371966,-0.44867441327169516,-1.181690668942672,-1.5600149753086996,-0.8372470414003205,-0.9825262248825143,-0.7963790921014919,-0.9327481517286872
FC,36,EW,-0.8904284208746727,-1.1070341145663805,-0.3601442049439911,-0.9123010494557274,-1.1627690080282953,-0.8744091468762776,-1.076525762112086,-0.9594229808397698,-1.0882549210952406
FC,36,VW,-2.008957282274342,-2.435410674833055,-0.6940342720188512,-2.0564624452387785,-2.4763296309724128,-2.0150832444845337,-2.1522467087842823,-2.1672702233256054,-2.311571066862174
PLS,36,EW,1.933777157918125,2.2015122385102273,0.7993639630634064,1.912470526887411,2.2234877529921393,1.9218449436453073,2.067586755050729,1.9405829368503547,1.954246503021764
PLS,36,VW,1.2591698223824253,0.9221337049340382,0.44578622618449637,1.2112007649231333,0.9082519964586342,1.4893359154002548,1.027612696105626,1.4118826352327842,0.9229048817234038
