location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,age,monthly,vw_cap,-1,67,6,2012-08-31,0.0557960459865486
per,age,monthly,vw_cap,-1,78,9,2012-09-30,-0.0357185901416617
per,age,monthly,vw_cap,-1,73,8,2012-10-31,0.0231205134492348
per,age,monthly,vw_cap,-1,71,8,2012-11-30,-0.0418130333974759
per,age,monthly,vw_cap,-1,72,8,2012-12-31,-0.0522707847334628
per,age,monthly,vw_cap,-1,70,8,2013-01-31,-0.0671774040019212
per,age,monthly,vw_cap,-1,70,8,2013-02-28,0.00985724464319545
per,age,monthly,vw_cap,-1,65,8,2013-03-31,-0.0337565796561482
per,age,monthly,vw_cap,-1,64,8,2013-04-30,-0.0428897726963424
per,age,monthly,vw_cap,-1,63,6,2013-05-31,-0.0458207990027051
per,age,monthly,vw_cap,-1,63,7,2013-06-30,-0.00768535674228923
per,age,monthly,vw_cap,-1,57,6,2013-07-31,0.0394436252435146
per,age,monthly,vw_cap,-1,59,6,2013-08-31,-0.0320806716441787
per,age,monthly,vw_cap,-1,65,6,2013-09-30,0.024859164020754
per,age,monthly,vw_cap,-1,62,6,2013-10-31,-0.125671853524766
per,age,monthly,vw_cap,-1,63,7,2013-11-30,-0.0394407505821102
per,age,monthly,vw_cap,-1,64,8,2013-12-31,-0.133395540385693
per,age,monthly,vw_cap,-1,61,6,2014-01-31,-0.0912761976177704
per,age,monthly,vw_cap,-1,55,5,2014-02-28,-0.115807707200005
per,age,monthly,vw_cap,-1,59,6,2014-03-31,-0.0167567092068855
per,age,monthly,vw_cap,-1,67,6,2014-04-30,-0.169081311833293
per,age,monthly,vw_cap,-1,68,6,2014-05-31,0.0111731737225953
per,age,monthly,vw_cap,-1,70,6,2014-06-30,0.0858056509636171
per,age,monthly,vw_cap,-1,68,6,2014-07-31,-0.0661030831078499
per,age,monthly,vw_cap,-1,65,6,2014-08-31,-0.0613525639407413
per,age,monthly,vw_cap,-1,60,4,2014-09-30,-0.117838339725761
per,age,monthly,vw_cap,-1,62,4,2014-10-31,-0.0367878249672338
per,age,monthly,vw_cap,-1,65,5,2014-11-30,-0.104377647503441
per,age,monthly,vw_cap,-1,65,5,2014-12-31,-0.0573413352479963
per,age,monthly,vw_cap,-1,63,4,2015-01-31,0.0443865517411228
per,age,monthly,vw_cap,-1,56,5,2015-02-28,-0.0124500196370669
per,age,monthly,vw_cap,-1,54,6,2015-03-31,-0.0647428638472037
per,age,monthly,vw_cap,-1,53,4,2015-04-30,-0.0108790379076149
per,age,monthly,vw_cap,-1,61,4,2015-05-31,0.0294196160527291
per,age,monthly,vw_cap,-1,61,5,2015-06-30,0.0415485925966729
per,age,monthly,vw_cap,-1,64,4,2015-07-31,-0.0297384026869917
per,age,monthly,vw_cap,-1,62,3,2015-08-31,0.0891223391402211
per,age,monthly,vw_cap,-1,64,4,2015-09-30,-0.0146842272403678
per,age,monthly,vw_cap,-1,55,1,2015-10-31,-0.0451081273158121
per,age,monthly,vw_cap,-1,51,1,2015-11-30,0.00212422365511545
per,age,monthly,vw_cap,-1,54,3,2015-12-31,0.0364684032581126
per,age,monthly,vw_cap,-1,52,4,2016-01-31,-0.0105074622408525
per,age,monthly,vw_cap,-1,55,5,2016-02-29,-0.062320628344329
per,age,monthly,vw_cap,-1,66,5,2016-03-31,-0.0858429656229605
per,age,monthly,vw_cap,-1,69,2,2016-04-30,-0.00486593461296198
per,age,monthly,vw_cap,-1,71,4,2016-05-31,0.0281941134922789
per,age,monthly,vw_cap,-1,70,7,2016-06-30,-0.0147954161521408
per,age,monthly,vw_cap,-1,72,7,2016-07-31,-0.0340670245291971
per,age,monthly,vw_cap,-1,75,7,2016-08-31,-0.00953372082002174
per,age,monthly,vw_cap,-1,76,7,2016-09-30,0.0819186476897647
per,age,monthly,vw_cap,-1,76,7,2016-10-31,-0.0124806733979496
per,age,monthly,vw_cap,-1,75,6,2016-11-30,0.0195539941976772
per,age,monthly,vw_cap,-1,76,6,2016-12-31,-0.0494864745519415
per,age,monthly,vw_cap,-1,75,6,2017-01-31,-0.073300656588925
per,age,monthly,vw_cap,-1,79,8,2017-02-28,-0.0110205336981177
per,age,monthly,vw_cap,-1,81,8,2017-03-31,-0.0186505525024084
per,age,monthly,vw_cap,-1,79,8,2017-04-30,-0.0136435965746414
per,age,monthly,vw_cap,-1,79,9,2017-05-31,-0.0759425304285546
per,age,monthly,vw_cap,-1,80,9,2017-06-30,0.0144105867258877
